ad_ed	total	reporting	candidate|Jabari Brisport	candidate|Tremaine S. Wright	candidate|Jason Salmon	candidate|Write-In	absentee|Jabari Brisport	absentee|Jason Salmon	absentee|Tremaine S. Wright	absentee|Write-In
57-054	258	99.00%	170	77	10	1	115	1	25	0
57-055	136	99.00%	82	43	11	0	75	2	22	0
57-056	178	99.00%	115	54	9	0	97	4	36	0
57-057	105	99.00%	69	26	10	0	144	8	29	1
57-058	166	99.00%	113	46	7	0	82	0	25	0
57-059	113	99.00%	70	34	9	0	74	6	22	0
57-060	87	99.00%	64	14	9	0	109	9	32	0
57-061	214	99.00%	154	46	14	0	184	31	60	0
57-062	85	99.00%	52	20	13	0	97	5	24	0
57-063	129	99.00%	95	25	9	0	120	13	35	0
57-064	181	99.00%	128	43	10	0	172	17	51	0
57-065	151	99.00%	131	14	6	0	154	8	16	0
57-066	167	99.00%	110	51	6	0	97	13	17	0
57-094	76	99.00%	55	16	4	1	38	5	10	0
57-095	39	99.00%	20	11	8	0	99	14	29	0
57-097	78	99.00%	33	37	8	0	7	0	9	0
57-098	84	99.00%	36	35	13	0	8	3	3	0
57-099	124	99.00%	79	41	4	0	88	6	16	0
57-100	148	99.00%	96	43	8	1	73	5	19	0
57-101	203	99.00%	113	69	19	2	73	9	25	0
57-102	138	99.00%	102	28	8	0	78	8	17	0
57-103	114	99.00%	79	30	5	0	115	5	40	0
57-104	195	99.00%	139	46	10	0	196	13	45	0
