ad_ed	total_reg_dems	absentee_requested	total	reporting	candidate|Tomas Ramos	candidate|Samelys López	candidate|Frangell Basora	candidate|Melissa Mark-Viverito	candidate|Michael A. Blake	candidate|Rubén Díaz	candidate|Mark Escoffery-Bey	candidate|Ritchie Torres	candidate|Chivona R. Newsome	candidate|Ydanis Rodriguez	candidate|Julio Pabón	candidate|Marlene J. Tapper	candidate|Write-In
85-070	614	58	81	99.00%	17	18	1	0	10	16	0	14	1	4	0	0	0
85-071	1	0	47	99.00%	1	6	0	6	6	3	1	17	1	5	0	1	0
85-072	0	0	0	99.00%	0	0	0	0	0	0	0	0	0	0	0	0	0
85-073	0	0	0	99.00%	0	0	0	0	0	0	0	0	0	0	0	0	0
85-074	0	0	0	99.00%	0	0	0	0	0	0	0	0	0	0	0	0	0
85-075	0	0	0	99.00%	0	0	0	0	0	0	0	0	0	0	0	0	0
85-076	0	0	0	99.00%	0	0	0	0	0	0	0	0	0	0	0	0	0
85-077	0	0	0	99.00%	0	0	0	0	0	0	0	0	0	0	0	0	0
85-078	0	0	0	99.00%	0	0	0	0	0	0	0	0	0	0	0	0	0
85-079	0	0	0	99.00%	0	0	0	0	0	0	0	0	0	0	0	0	0
85-080	347	37	48	99.00%	1	11	0	8	2	12	0	13	0	1	0	0	0
85-081	641	64	140	99.00%	1	14	0	3	26	38	0	45	2	11	0	0	0
85-082	443	42	72	99.00%	1	11	0	4	10	10	0	18	3	9	2	3	1
85-083	447	50	53	99.00%	0	12	0	0	10	3	0	24	1	2	0	1	0
85-084	738	72	83	99.00%	1	25	0	3	12	18	0	17	0	6	1	0	0
85-085	414	33	2	99.00%	0	0	0	1	0	0	0	1	0	0	0	0	0
86-001	565	66	92	99.00%	2	13	0	4	17	13	0	22	0	18	1	2	0
86-002	952	109	67	99.00%	3	13	0	0	4	11	0	17	1	15	2	0	1
86-003	684	85	39	99.00%	1	5	0	1	11	6	0	6	0	8	0	0	1
86-004	548	60	27	99.00%	0	3	0	0	6	4	0	9	1	4	0	0	0
86-005	528	83	83	99.00%	2	14	0	0	8	16	0	22	1	18	1	0	1
86-006	660	153	94	99.00%	0	11	1	0	16	16	0	26	3	19	0	2	0
86-007	653	137	97	99.00%	3	10	0	1	2	18	0	27	1	33	0	0	2
86-008	877	159	126	99.00%	6	17	1	3	12	21	0	37	1	28	0	0	0
86-009	918	90	66	99.00%	4	9	0	2	8	15	0	10	2	16	0	0	0
86-010	542	64	49	99.00%	1	6	0	0	14	10	0	10	0	8	0	0	0
86-011	764	140	118	99.00%	4	17	0	1	29	18	0	28	0	20	0	0	1
86-012	825	92	7	99.00%	0	1	0	0	0	3	0	2	0	1	0	0	0
86-013	796	86	117	99.00%	0	16	1	1	14	27	0	28	2	27	1	0	0
86-014	746	87	90	99.00%	5	21	0	5	7	10	0	26	0	13	0	2	1
86-015	871	77	111	99.00%	1	15	0	7	9	16	0	39	1	21	0	0	2
86-016	803	89	107	99.00%	2	17	1	5	7	23	0	25	0	25	0	1	1
86-017	816	107	108	99.00%	2	14	0	2	14	15	0	32	0	26	1	1	1
86-021	132	28	19	99.00%	1	0	0	0	3	1	0	9	0	4	0	1	0
86-022	768	76	65	99.00%	1	12	1	3	3	11	0	16	2	16	0	0	0
86-023	622	90	82	99.00%	5	10	0	4	11	13	0	26	0	11	0	2	0
86-024	661	63	54	99.00%	2	7	0	2	8	7	0	15	1	11	1	0	0
86-025	838	68	103	99.00%	3	13	0	2	23	6	0	40	2	13	0	0	1
86-026	814	116	110	99.00%	1	11	1	2	16	18	0	28	2	29	0	1	1
86-027	679	77	95	99.00%	2	10	1	3	10	14	0	22	1	30	2	0	0
86-028	807	88	98	99.00%	2	16	2	3	8	16	0	34	0	16	0	0	1
86-029	853	141	91	99.00%	0	11	0	3	16	11	1	20	2	27	0	0	0
86-030	713	79	94	99.00%	3	10	0	2	12	9	1	37	2	17	1	0	0
86-031	715	76	109	99.00%	2	13	1	0	26	18	1	27	3	16	1	0	1
86-032	774	150	135	99.00%	1	12	2	3	27	12	1	44	2	28	2	0	1
86-033	826	190	169	99.00%	5	20	0	3	29	24	0	29	5	53	0	1	0
86-034	783	209	133	99.00%	3	23	0	7	21	17	1	30	1	29	0	1	0
86-035	629	57	95	99.00%	2	11	1	4	11	16	0	30	0	19	0	0	1
86-036	791	115	129	99.00%	5	19	2	3	14	21	0	33	1	30	0	1	0
86-037	613	67	68	99.00%	6	12	0	1	11	6	0	18	1	12	1	0	0
86-038	811	62	64	99.00%	3	9	0	2	9	14	0	16	0	9	0	2	0
86-039	600	92	22	99.00%	1	6	0	2	2	3	0	6	1	1	0	0	0
86-040	845	124	132	99.00%	5	14	1	9	11	16	1	49	0	24	0	1	1
86-041	690	72	48	99.00%	1	2	0	4	10	3	1	18	0	9	0	0	0
86-042	12		0	99.00%	0	0	0	0	0	0	0	0	0	0	0	0	0
86-043	194	11	11	99.00%	0	4	0	0	2	3	0	1	0	1	0	0	0
86-044	388	22	39	99.00%	1	8	0	1	7	4	0	16	2	0	0	0	0
86-045	970	124	167	99.00%	5	12	0	8	30	22	0	67	5	18	0	0	0
86-046	894	95	86	99.00%	0	8	0	3	13	4	0	42	2	13	1	0	0
86-047	870	108	134	99.00%	0	15	0	2	26	10	0	70	0	10	0	0	1
86-048	607	67	62	99.00%	3	7	0	2	6	10	0	22	1	11	0	0	0
86-049	551	58	55	99.00%	3	8	0	1	9	6	0	22	1	3	0	2	0
86-050	897	109	122	99.00%	3	21	0	3	11	11	0	64	0	8	0	0	1
86-051	800	80	106	99.00%	1	15	0	0	9	14	0	41	0	19	2	3	2
86-052	839	102	120	99.00%	2	17	0	2	10	9	0	48	0	32	0	0	0
